Fri Feb  1 20:10:59 2019 | stop  | 
Fri Feb  1 20:11:02 2019 | start | 
Fri Feb  1 20:23:42 2019 | start | 
Fri Feb  1 20:26:38 2019 | stop  | 
Fri Feb  1 20:26:41 2019 | start | 
Fri Feb  1 20:30:29 2019 | stop  | 
Fri Feb  1 20:30:32 2019 | start | 
Fri Feb  1 20:34:33 2019 | stop  | 
Fri Feb  1 20:34:36 2019 | start | 
Fri Feb  1 20:36:50 2019 | stop  | 
Fri Feb  1 20:36:53 2019 | start | 
Fri Feb  1 20:43:16 2019 | stop  | 
Fri Feb  1 20:43:19 2019 | start | 
Fri Feb  1 20:47:21 2019 | stop  | 
Fri Feb  1 20:47:24 2019 | start | 
Fri Feb  1 21:03:09 2019 | stop  | 
Fri Feb  1 21:03:12 2019 | start | 
Fri Feb  1 21:04:12 2019 | stop  | 
Fri Feb  1 21:04:15 2019 | start | 
Fri Feb  1 21:06:26 2019 | stop  | 
Fri Feb  1 21:06:29 2019 | start | 
Fri Feb  1 21:15:01 2019 | stop  | 
Fri Feb  1 21:15:04 2019 | start | 
Fri Feb  1 21:28:09 2019 | start | 
Sat Feb  2 20:51:54 2019 | stop  | 
Sat Feb  2 20:51:57 2019 | start | 
Sat Feb  2 20:57:14 2019 | stop  | 
Sat Feb  2 20:57:17 2019 | start | 
Sat Feb  2 21:05:18 2019 | stop  | 
Sat Feb  2 21:05:21 2019 | start | 
Sat Feb  2 21:16:26 2019 | stop  | 
Sat Feb  2 21:16:29 2019 | start | 
Sat Feb  2 21:20:29 2019 | stop  | 
Sat Feb  2 21:21:17 2019 | start | 
Sat Feb  2 21:27:56 2019 | stop  | 
Sat Feb  2 21:27:59 2019 | start | 
Sat Feb  2 21:32:29 2019 | stop  | 
Sat Feb  2 21:32:32 2019 | start | 
Sat Feb  2 21:35:30 2019 | stop  | 
Sat Feb  2 21:35:33 2019 | start | 
Sun Feb  3 14:40:12 2019 | stop  | start Attempting automatic respawn after MCP death
Sun Feb  3 14:40:15 2019 | start | start Attempting automatic respawn after MCP death
Mon Feb  4 04:19:02 2019 | stop  | start Attempting automatic respawn after MCP death
Mon Feb  4 04:19:05 2019 | start | start Attempting automatic respawn after MCP death
Mon Feb  4 05:09:20 2019 | stop  | start Attempting automatic respawn after MCP death
Mon Feb  4 05:09:23 2019 | start | start Attempting automatic respawn after MCP death
Mon Feb  4 06:56:31 2019 | stop  | start Attempting automatic respawn after MCP death
Mon Feb  4 06:56:34 2019 | start | start Attempting automatic respawn after MCP death
Mon Feb  4 06:57:38 2019 | stop  | start Attempting automatic respawn after MCP death
Mon Feb  4 06:57:41 2019 | start | start Attempting automatic respawn after MCP death
Mon Feb  4 07:08:36 2019 | stop  | start Attempting automatic respawn after MCP death
Mon Feb  4 07:08:39 2019 | start | start Attempting automatic respawn after MCP death
Mon Feb  4 07:12:00 2019 | stop  | start Attempting automatic respawn after MCP death
Mon Feb  4 07:12:03 2019 | start | start Attempting automatic respawn after MCP death
Mon Feb  4 08:00:57 2019 | stop  | start Attempting automatic respawn after MCP death
Mon Feb  4 08:01:00 2019 | start | start Attempting automatic respawn after MCP death
Mon Feb  4 08:50:48 2019 | stop  | start Attempting automatic respawn after MCP death
Mon Feb  4 08:50:51 2019 | start | start Attempting automatic respawn after MCP death
